Blockchain Company,ICO Size (in millions),Market Capitalization
LikeCoin, $ 5.40 ,"43,165,547"
LinkerCoin, $ 10.13 ,"25,000,837"
Liquidity Network,23.61,"1,484,491.96"
LiveEdu, $ 10.00 ,
LiveTree Adept, $ 0.10 ,
Loci, $ 7.38 ,"295,422.00"
LockChain, $ 4.06 ,
Loki, $ 9.00 ,
LoyalCoin (LYL), $ 13.25 ,
Luna (LUNA), $ 12.00 ,
Lunyr, $ 5.32 ,"495,773"
Lykke (1st round), $ 1.15 ,
Lykke (2nd round), $ 1.97 ,
Lympo, $ 16.86 ,"19,269,651"
MAD Network, $ 25.00 ,"1,693,732"
Maecenas (ART), $ 15.40 ,"719,769"
Mandala,18,"47,621,149.87"
Market.Space (MASP), $ 15.20 ,
MassNetwork, $ 0.25 ,
Matchpool, $ 5.63 ,
MatrixChain (MAN), $ 12.60 ,"42,420,389"
Matryx, $ 1.98 ,"10,674,554"
MAVRO, $ 1.46 ,"25,833,648"
MediBloc (MED), $ 25.64 ,"571,915,893"
MedicalChain, $ 24.00 ,"5,454,397.64"
Merculet, $ 28.69 ,"8,480,714.31"
Mercury Protocol (GMT), $ 7.62 ,"4,968,780.00"
Metal, $ 0.03 ,"164,881,862"
Metaverse, $ 3.00 ,"18,896,761"
MicroMoney, $ 10.54 ,"246,417"
Midex, $ 22.00 ,
Miner One, $ 9.10 ,
MiniApps, $ 5.30 ,
Mira, $ 1.98 ,"16,306"
Mirocana, $ 2.92 ,
MobileGo, $ 53.07 ,"2,155,648"
MOBILINK COIN, $ 5.50 ,"7,707,042"
Mobius (MOBI), $ 39.00 ,"16,564,304"
ModulTrade (MTRC), $ 11.60 ,"118,413.63"
Moeda, $ 0.58 ,"17,325,619"
Monaco, $ 10.29 ,
Monetha (MTH), $ 29.95 ,"12,418,152"
Money Rebel, $ 3.84 ,"70,307.63"
MonsterByte, $ 0.97 ,
MOOVER, $ 50.92 ,
Moria (MOR), $ 6.00 ,
Morpheus Labs, $ 10.10 ,"24,326,990"
Morpheus Network, $ 7.50 ,"45,535,769"
Mossland, $ 9.36 ,
Mothership, $ 4.69 ,"763,120.52"
MSC, $ 5.51 ,1.94
Multiversum, $ 21.52 ,
MUSE, $ 0.54 ,"10,167,185"
Musiconomi (MCI), $ 6.77 ,"136,597.91"
MVL Chain, $ 9.97 ,"411,460,817"
Mycelium  (2nd round), $ 2.33 ,
Mysterium (1st round), $ 0.05 ,"13,903,584"
Mysterium Network, $ 14.10 ,"14,620,089"
MyWish, $ 2.67 ,"2,489,714"
Naga (NGC), $ 62.66 ,"2,567,593"
NaPoleonX, $ 13.95 ,"10,496,842"
Narrative, $ 14.64 ,"141,354.29"
Nauticus,17,
Nebula AI, $ 6.33 ,
Nebulas (NAS), $ 60.00 ,"36,869,692"
Nervos Network (Series A),28,"606,485,268.51"
Neufund (NEU), $ 14.90 ,"278,231,534"
NeuroChain, $ 26.53 ,"1,331,202"
Neuromation, $ 71.67 ,
Nexo, $ 50.10 ,"2,199,525,680"
Nimfamoney, $ 0.15 ,
Nimiq, $ 14.53 ,"137,650,910"
Nitro, $ 2.69 ,"1,424.40"
NKN, $ 14.20 ,"355,860,064"
Node, $ 1.15 ,
Nucleus.Vision, $ 40.00 ,"42,541,679"
Obits, $ 0.30 ,
Ocean Protocol (OCN), $ 11.10 ,"909,922,707"
ODEM.IO, $ 6.90 ,"5,219,829"
Odyssey, $ 50.00 ,"8,155,970"
OFNOG,15,
Olympus Labs (MOT), $ 60.00 ,"89,976.58"
Omnitude, $ 7.50 ,"903,183.21"
On-Demand Education Marketplace (ODEM), $ 6.89 ,
On.Live, $ 14.36 ,"1,460,943"
OneGram, $ 1.51 ,
OnPlace, $ 0.92 ,
Open Platform, $ 30.00 ,"7,723,809"
Open Platform, $ 18.00 ,"7,861,092"
Open Product Database, $ 2.50 ,
Open Source University,0.5,
OpenANX, $ 18.76 ,
Opus, $ 1.38 ,"597,688"
Oracles Network (POA), $ 13.37 ,"10,976,200"
OriginTrail (TRAC), $ 22.50 ,"156,106,832"
Orocrypt, $ 0.14 ,
Orozu, $ 5.02 ,
Otppay, $ 1.38 ,
Oxycoin (OXY), $ 6.25 ,
Pally (PAL), $ 1.18 ,
Paquarium, $ 0.62 ,
Paragon, $ 94.58 ,"469,812.28"
Pareto (PARETO), $ 10.00 ,"117,445.00"
PARKGENE, $ 29.50 ,"518,769.00"
Patientory, $ 6.52 ,"2,082,971"
Patron, $ 40.00 ,"3,026,530"
Paycent, $ 15.53 ,"255,078"
PAYERA,4.33,
PayPie, $ 26.00 ,"4,690,447"
PCHAIN, $ 26.67 ,"43,415,484.00"
PDX,9.58,
Pecunio, $ 20.54 ,
Peerplays, $ 1.46 ,"521,430"
Peoplewave, $ 0.59 ,"7,611,781.20"
PerfectChain Network,4,
Phantasma Protocol, $ 9.65 ,"25,145,805"
